input_2,response,eval
"<product> Yamaha EQ-70 Stereo Equalizer (Discontinued by Manufacturer)
<features> ['10-band left- and right-channel level control', 'Output level control with power indicator', 'Tape monitor with EQ-record function', 'Defeat switch', 'LED-illuminated EQ slide controls']

<product> Toshiba CZ36V51 36&quot; TV
<features> ['Stereo front surround sound', 'Parental control V-chip', 'Single tuner picture-in-picture', 'ColorStream component-video inputs', 'FST Black invar picture tube']

<product> CableWholesale 12-Feet Premium Grade 24K Gold Digital Coaxial RCA 75 Ohm Cable (10R4-11112)
<features> ['Provide superior connections for digital audio equipment', '1-RCA Male to 1-RCA Male Connectors', 'Heavy-Duty Gold-Plated RCA Connectors', 'Fully Supports S/PDIF Audio File Transfer Format: linear PCM or multi-channel Dolby AC-3/DTS digital content']

","The luxurious cabin on board our cruise liner has been designed to provide maximum comfort and convenience. The rooms are equipped with state-of-the-art technology such as Yamaha’s EQ-70 stereo equalizer which allows users to adjust the levels of both channels independently. Additionally, guests can enjoy watching movies on the Toshiba CZ36V51 36” TV while listening to music through the premium grade 24k gold coaxial cable from Cable Wholesales.",8
"<product> Pioneer VSX-D498 Dolby Digital Audio/Video Receiver (Discontinued by Manufacturer)
<features> ['80 watts x 5 channels power output', 'Digital signal processing with 6 simulated sound fields', '6-channel input; center-channel and subwoofer pre-output', 'Dolby Digital decoder', '30-channel digital AM/FM tuner']

<product> Philips 20PT6441 20&quot; Flat-Screen CRT TV (Silver)
<features> ['20-inch flat-tube TV with comb filter; 23.7 x 18.1 x 19.9 inches (W x H x D)', '5-mode auto picture; 4-mode auto sound with volume leveling', 'Stereo sound through 2 speakers, virtual surround, and output for home theater system', 'Composite-, component, and S-video inputs; 3 L/R audio inputs, 1 A/V out', 'QuadraSurf customizable remote']

<product> C2G 26947 DVI-I M/M Single Link Digital/Analog Video Cable, Black (9.8 Feet, 3 Meters)
<features> ['USE  Connect a DVI-I port on your PC to a DVI-I enabled computer, monitor, projector or a TV, for resolutions up to 1600 X 1200 pixels *Note- DVI-I and DVI-D are not interchangeable connections.', 'MOLDED GOLD-PLATED CONNECTORS Corrosion resistant connectors provide optimal video signal transfer and a durable, long life. Molded jacket will provide excellent strain relief against conductor damage', 'TRIPLE SHIELDED UNDERMOLD AND BRAID SHIELD  Prevents and protects the cable from unwanted noise interference and individually insulated conductors help to minimize crosstalk, and ensure high speed, error-free transmission', 'SLOTTED, TEXTURED THUMBSCREWS  Allows you to use a flathead screwdriver in tight spaces to install or remove this cable and prevents the cable from accidently disconnecting from the port', 'PACKAGING  To ensure you receive the highest quality products C2G packages all product in C2G branded packaging']

","The luxurious cabin aboard our cruise liner has been designed to offer maximum comfort and convenience. The rooms feature state-of-the-art technology such as the Pioneer VSX-D498 Dolby Digital Audio/Video Receiver which allows you to enjoy crystal clear sound and stunning visuals. For those who prefer a more traditional experience, we also offer the Philips 20PT6441 20” Flat-Screen CRT TV which offers a classic look while still providing modern features like stereo sound and a quadruple surf remote control. Finally, if you want to take advantage of the latest advances in entertainment, then check out the C2G 26947 DVI-I M/M Single Link Digital/Analog Video Cable. This cable can be used to connect any DVI-I port on your PC to a DVI-I enabled computer, monitor, projector or television, allowing you to watch movies and play games at the highest possible resolution.",8
"<product> Wharfedale Emerald 97 3-Way Floor-Standing Speakers (Rosewood) (Discontinued by Manufacturer)
<features> ['3-way front-ported floorstanding speakers', '125-watt power handling', '40 to 20,000 Hz frequency response', '6.7-inch polymer-plastic bass/mid units; 1-inch silk-dome tweeters', 'Rosewood veneer finish']

<product> Panasonic TH-42PD25U/P 42-Inch Enhanced-Definition Flat-Panel Plasma TV
<features> ['42-inch gas-plasma TV with built-in NTSC and digital ATSC/QAM tuners and super-high 4,000:1 contrast ratio; 46.1 x 25.9 x 3.9 inches (W x H x D)', '852 x 480 native pixel resolution with EDTV display capability (480p); offers front-panel PC/RGB analog input', 'High-Definition Multimedia Interface (HDMI) offers direct-digital A/V connection with compatible DTV receiver', 'Photo viewer through SD Card slot; CableCARD compatibility obviates the need for a separate box for digital cable reception', '8 watts per channel x 2 stereo speakers; BBE ViVA HD3D Sound simulates surround sound from any 2 speakers']

<product> Samsung GALAXY S WiFi 4.2 Smartphone Charging USB 2.0 Data Cable! This professional grade custom cable outperforms the original!
<features> ['The A Days Tech Professional Charging USB Data Cable outperforms the originally manufactured (OEM) cable and all other aftermarkets commonly seen elsewhere!', 'This USB Charging Data Cable provides the ability to connect your phone to your computer with your software (sold seperately).', 'Cable also allows access to features such as Phonebook, Internet, Music, Ringtones, MP3, Calendar, etc as long as your phone and software support that feature.', 'Use your phone as a high speed modem and access Internet to check email, etc. (consult your carrier for this service)', 'Advanced charging regulation of this cable is controlled equally by the phone and computer. This means an accurate digitial charge without overcharging.']

","Welcome aboard our luxurious cruise liner! We are proud to offer you a suite filled with state-of-the-art technology. Our Wharfedale Emerald 97 3-Way Floor-Standing Speaker System will provide you with crystal clear audio quality while watching movies or listening to music. The Panasonic TH-42PD25U/P 42-Inch Enhanced-Definition Flat-Panel Plasma TV will ensure you never miss a moment of action on the big screen. And if you want to stay connected during your voyage, don’t worry—our Samsung GALAXY S WiFi 4.2 Smartphone Charging USB 2.0 Data Cable will allow you to easily sync up your device with the ship’s network.",8
"<product> JBL Northridge E80 3-Way Dual 6-Inch Floorstanding Speaker, Single (Beech)
<features> ['Single magnetically shielded, 3-way, dual 6-inch floorstanding speaker', 'Dual 6-inch PolyPlas woofers, 4-inch PolyPlas midrange, and 0.75-inch dome tweeter', 'Straight-Line Signal Path (SSP) crossover network ensures pure signal', '100 watts continuous and 400 watts peak power handling; 200 watts max amp power', '5-way binding posts; 8.38 x 36.5 x 13.5 inches (W x H x D); 5-year warranty']

<product> Hitachi 65SWX20B 65-Inch 16:9 Projection HDTV-Ready TV
<features> ['65-inch widescreen (16:9 aspect ratio) HDTV-ready projection TV; 61 x 59.875 x 28 inches (W x H x D)', 'Enhanced VirtualHD digital video processing upgrades conventional signals to near-HD quality', '3:2 correction and 26-point motion-adaptive interpolation ensures smooth, seamless images from any source', 'DVI digital input provides compatibility with the latest generation of digital set-top boxes', 'Magic Focus Convergence automatically aligns the picture for optimum performance at the touch of a button']

<product> Monster Cable XP164 High-Performance Speaker Wire - 164ft Spool
<features> [""Monster Cable's XP speaker wire is an audiophile grade speaker wire that is designed for those that demand high-performance from their audio equipment"", 'Delivers impressive clarity and Bass response', 'Shielded to help preserve signal integrity and assure compatibility with home-theater applications', 'Although it is sold in pairs or on rolls, some customers prefer custom cut wire to specifications and we make this service available on a special-order basis']

","The luxurious cabin aboard our cruise liner offers a variety of amenities to ensure your comfort during your journey. The spacious rooms are equipped with state-of-the-art technology such as flat screen televisions, sound systems, and wireless internet access. For entertainment purposes, guests can enjoy movies, music, and games while relaxing in one of the plush recliners. To keep you connected, there are also telephones and fax machines available.",3
"<product> Panasonic SC-AK78 5CD Dolby Pro Logic Home Theater Compact Stereo System (Discontinued by Manufacturer)
<features> ['5-CD changer', 'Dolby Pro Logic processing', 'Center and rear-channel speakers included', 'Triamped front left/right speakers', '5.1-channel discrete analog inputs']

<product> SONY KV-40XBR800 FD Trinitron(R) XBR(R) Wega(TM) Color TV
<features> ['Hi-Scan 1080i compatible for HDTV display', 'NEW - DRC(TM) MultiFunction V1 Circuitry', 'CineMotion Reverse 3 - 2 PullDown Technology', 'Flexible TwinView Two Tuner Picture and Picture', '3D Digital Comb Filter']

<product> EtherFast Cable/DSL VPN Router - Canada
<features> ['The perfect option to connect multiple PCs to a high speed Broadband Internet connection or to an Ethernet back-bone! Allowing up to 253 users, the built-in NAT technology acts as a firewall protecting your internal network!']

","Welcome aboard our luxurious cruise liner! We are proud to offer you a spacious cabin equipped with all the latest technologies. Our Panasonic SC-AK78 5CD Dolby Pro Logic Home Theater Compact Stereo System will provide you with hours of entertainment while relaxing on board. The system includes a 5 CD Changer, Dolby Pro Logic Processing, Center and Rear Channel Speakers Included, Triamped Front Left/Right Speakers, 5.1 channel Discrete Analog Inputs, and much more. Enjoy movies, music, and games from any location within the cabin thanks to this state-of-the-art home theatre system.

Our Sony KV-40XBR800 FD Trinitron(R) XBR(R) Wega(TM) Color TV offers stunning picture quality and sound. This new model features Hi-Scan 1080i compatibility for HDTV Display, NEW – DRC™ Multifunction V1 Circuitry, CineMotion Reverse 3–2 Pull Down Technology, Flexible Twin View Two Tuner Picture and Picture, and 3D Digital Comb Filter. You can enjoy watching your favorite shows and movies without having to worry about missing out on anything due to its amazingly clear picture and sound.

For those who prefer online gaming, we also offer our Etherfast Cable/DSL VPN Router – Canada. With this router, you’re able to connect multiple computers to a high speed broadband internet connection or to an Ethernet back-bone! It comes with a built-in NAT technology acting as a firewall protecting your internal network, allowing up to 253 users. So whether you want to play multiplayer games, watch videos, listen to music, or just surf the web, you won’t be disappointed with what our luxurious ship has to offer.",7
"<product> JVC RX-7000VBK Dolby Digital/DTS Audio/Video Receiver (Discontinued by Manufacturer)
<features> ['100 watts x 5 channels', 'Dolby Digital and DTS decoding', '5.1-channel direct inputs', 'S-video switching', 'Onscreen display']

<product> Philips 44PL9523 44-Inch Cineos Widescreen LCOS Projection TV Monitor
<features> ['44-inch Cineos high-definition Liquid Crystal on Silicon (LCoS) TV with 1,280 x 720 native pixel resolution; 46.7 x 31.7 x 14.6 inches (W x H x D)', 'Single-panel LCoS light engine permits low weight and a small footprint while freeing you from concern about convergence or image burn-in', 'Digital Natural Motion eliminates motion ""judder"" from film-based sources such as DVDs', 'Double-window, dual-tuner picture-in-picture splits the screen into 2 independent halves: watch 2 shows, watch and surf, etc.', '20 watts per channel high-power sound with Dolby Virtual Surround']

<product> Rapco Horizon H14-6 14GA Speaker Cable 6-Feet
<features> ['Black 14 ga cable (2) 0.25 inch', 'Heavy duty durable PVC jacket', 'Pure copper strands for excellent sound reproduction', 'Hand soldered, high quality metal 1/4 inch connectors', 'Twisted pair construction for noise rejection']

","The luxurious cabin aboard our cruise liner has been designed to provide maximum comfort and convenience. The rooms are equipped with state-of-the-art technology including a JVC RX-7000VBK Dolby Digital/DTS Audio/Video Receiver which allows you to enjoy your favorite movies and music in stunning clarity. For those who prefer to stay connected during their voyage, there’s also a Philips 44PL9523 44-Inch Cineos Widescreen LCOS Projection TV Monitor so you can keep up with news and social media updates. To ensure optimal viewing pleasure, we offer a Rapco Horizon H14-6 14GA Speaker Cable 6 Feet so you can listen to your favorite tunes without any interference. Finally, to make sure you never miss out on important calls, we include a set of 20watts per channel high power sound with Dolby Virtual Surround speakers.",8
"<product> Aiwa CS-P500 AM/FM Stereo Cassette Recorder, Ultra Compact Design w/Q Sound
<features> ['Auto-reverse cassette deck', 'One-touch recording', 'Patented Q-Sound technology', 'AM/FM radio', 'Built-in microphone and headphone jack']

<product> Daewoo Portland PT-1901 19&quot; TV
<features> ['19-inch color TV with parental control settings (limit: 2 TV sets per customer)', 'Remote control with channel recall, mute, and channel display', 'Convenient sleep, wake-up, and auto-shutoff timers', 'Built-in closed-captioned decoder', 'Easy-to-navigate, multilingual onscreen menus']

<product> Monster Standard THX-Certified Speaker Cable - 30 ft. 16ga. Speaker Cable (Discontinued by Manufacturer)
<features> ['For Hookup of Home Theater Speaker to A/V Receiver or Amplifier', 'Delivers the full dynamic range of movie soundtracks.', 'Generous length for optimum speaker placement in normal size room.', 'More power transfer than ordinary free in the box cables.', 'Meets minimum THX certification standards for proper system performance, reliability and ease of installation.']

","The luxurious cabin aboard this cruise liner offers all the comforts of home. The ultra compact design of our Aiwa CS-P500 AM/FM Stereo Cassette Recorder allows us to bring along more entertainment options while still keeping space at a premium. With its one touch recording feature, we can easily record any audio source from the radio to tape without having to worry about fumbling around with knobs and dials. Our patented Q-sound technology ensures clear and crisp sound quality, making sure your favorite songs are heard just how they were meant to be enjoyed. For those who prefer listening to music through the radio, our built-in AM/FM tuner will keep you up to date with the latest news and weather reports. To top off the experience, our Daewoo Portland PT-1901 19” TV comes equipped with a remote control, allowing you to adjust volume and channels quickly and conveniently. If you’re looking for something to watch during your voyage, don’t forget to check out our selection of movies available on board!",7
"<product> Panasonic SC-AK410 300-Watts 5-CD Shelf System (Black) (Discontinued by Manufacturer)
<features> ['5-CD changer with MP3 support, dual-well cassette deck, digital tuner with 30 FM/AM presets', 'Pumps 300 watts total power', 'Shows ID3 tags (artist, track names) on bright, 10-character, multi-color dot-matrix display', 'Super Sound EQ selectively boosts the low, medium, and high frequencies at the touch of a button', 'Includes a sleep timer and a remote control']

<product> Toshiba 42HP84 42-Inch TheaterWide HD-Ready Flat-Panel Plasma TV
<features> ['42-inch widescreen high-definition plasma monitor; 50.3 x 27.8 x 4.9 inches (W x H x D)', '1 DVI direct-digital input, 2 ColorStream HD component-video inputs for ultimate quality from DTV receivers and progressive-scan DVD players', ""Toshiba PixelPure technology produces a picture that's consistently clear, deep, and accurate"", '1,024 x 768 native pixel resolution; 3D Y/C (4 MB, 10-bit) digital comb filter removes blurred edges between colors and reduces dot crawl', '10 watts per channel audio power x 2; SRS TruSurround and Dolby Virtual Surround produce enveloping sound from just 2 speakers']

<product> C2G 09453 DB9 M/F Serial RS232 Extension Cable, Beige (50 Feet, 15.24 Meters)
<features> ['Extend your RS-232 serial cable for more flexibility', 'Extend an existing DB9 cable up to 100ft', 'Put peripherals in the most convenient place', 'Available in beige and black', 'Lifetime Warranty', ""Don't sacrifice convenience when determining where to place your hardware!"", 'A DB9 extension cable can give you the flexibility to extend a computer peripheral wherever you need it.', 'Each extension cable comes fully shielded to prevent unwanted EMI/RFI interference,', 'Connector thumbscrews provide a quick and easy connection every time.', '<span class=""a-size-base a-color-secondary"">\n                Extend an existing DB9 cable up to 100 Feet\n            </span>', '<span class=""a-size-base a-color-secondary"">\n                Place peripherals in the most convenient location\n            </span>', '<span class=""a-size-base a-color-secondary"">\n                Available in beige and black\n            </span>', 'Designed in various colors to look great in any space.', 'Fully molded cable design delivers excellent strain relief.', 'All lines are wired straight through.']

","The luxury cabin aboard our cruise liner has been outfitted with some of the best technological advancements available today. The Panasonic SC-AK410 300-watts 5-CD shelf system allows passengers to enjoy hours of music while relaxing or entertaining friends and family. It also features a built-in digital tuner with 30 FM/AM presets so guests can stay connected to their favorite stations. For those who prefer movies over music, the Toshiba 42HP84 42-inch TheaterWide HD-ready flat panel plasma television offers stunning visual clarity and vibrant color reproduction. With its 50.3x27.8x4.9 dimensions, this model fits perfectly into any living area. Finally, the C2G 09453DB9M/F Serial RS232 Extension Cable gives users the freedom to connect their devices anywhere they want without having to worry about length limitations. This 50 feet long cable ensures maximum mobility and flexibility.",8
"<product> Panasonic SC-PM11 Executive Microsystem (Discontinued by Manufacturer)
<features> ['KOTION EACH Gaming headset with mic']

<product> Toshiba 51H83 51-Inch HDTV-Ready TheaterWide Projection TV
<features> ['51-inch widescreen (16:9 aspect ratio) HD-compatible projection television; 49.6 x 50.5 x 22.5 inches (W x H x D)', 'CrystalScan HDSC upconverts all video signals (including 480i/p) to 1080i HD', 'Improved PowerFocus HD II CRTs enhance sharpness and brightness', 'HD Window dual-tuner POP (picture-outside-picture), PIP audio, direct video input selection', 'HD Dynamic Contrast analyzes picture information to sharpen and deepens those parts with the most detailed information']

<product> Mad Dog Multimedia ATA/IDE Cable (MD-36-ATA-3SL) (MD-36-ATA-3SL)
<features> ['36-inch ATA/IDE 133 cable', 'Rounded silver', 'For those wanting to modify their PCs into rad machines']

","The luxurious cabin on board our cruise liner features state-of-the-art technology such as Panasonic’s SC-PM11 Executive MicroSystem which allows users to enjoy high quality sound while gaming or watching movies. The Toshiba 51H83 51-Inch HDTV-Ready TheaterWide Projection TV offers a stunning viewing experience with its 51-inch wide screen display and 49.6x50.5x22.5 dimensions. It also has a built-in HDSC upconverter so you can watch your favorite shows in crystal clear HD resolution. For those who want to take advantage of the latest technologies, we offer the Mad Dog Multimedia ATA/IDE Cable (MD-36-ATA-3SL). This 36-inch cable is perfect for modifying your computer into a sleek machine.",6
"<product> BZKBTA6100 - BAZOOKA BTA6100 BT Series Amplified Subwoofer (6""; 100W)
<features> ['Model_Number - BTA6100', 'Depth - 23.50', 'Height - 8.50', 'Width - 8.75']

<product> Samsung SPN4235 42-Inch Widescreen Plasma Flat-Panel HD-Ready TV
<features> ['42-inch widescreen high-definition plasma display with DVI input and 16:9 aspect ratio; 40.4 x 24.8 x 3.1 inches (W x H x D)', '852 x 480-pixel EDTV (480p) resolution; built-in image scaler accepts 720p and 1080i signals and scales them for 480p viewing', 'Extraordinary 1,200:1 contrast ratio, high 700 cd/m2 brightness', 'NTSC dual-tuner, split-screen PIP lets you watch two programs simultaneously', '10-watts-per-channel speaker outputs (for use with optional matching speakers, model PSM4230); subwoofer output for a direct sub hookup']

<product> Monster Cable ULT I1000-8 THX Ultra 1000 Audio Interconnect (Discontinued by Manufacturer)
<features> ['Multiple gauge wire networks for accurate, natural sound reproduction.', '12-cut Turbine 24k gold contacts for a superior connection.', 'Exceeds THX certification standards for proper system performance, reliability and ease of installation.', 'Bandwidth Balanced design for increased clarity and sonic accuracy.', 'MicroFiber insulation for deeper, tighter bass and clearer highs.']

","The luxurious cabin on this cruise liner has been designed to provide maximum comfort and convenience. The rooms are equipped with state-of-the-art technology such as the Bazooka BTA6100 BT series amplified subwoofer which delivers powerful audio quality while providing deep, rich bass notes. This subwoofer also features a 100-watt power rating so you can enjoy your favorite music without any distortion or interference. For those who prefer watching movies, television shows, or playing video games, there’s no better choice than the Samsung SPN4235 42-inch wide screen flat panel HD ready TV. With its 480p resolution, this TV offers crystal clear images and vibrant colors. It even comes with a built-in image scaler that will accept 720p and 1080i signals and scale them for 480p viewing. If you want to take advantage of the best sound possible, then look no further than the Monster Cable ULT I1000-8 THX Ultra 1000 Audio Interconnect. This interconnect exceeds THX certification standards for proper system performance, reliability and ease of installation. Its multiple gauge wire network ensures accurate, natural sound reproduction and its 12 cut turbine 24K Gold Contacts ensure a secure connection. Finally, if you need some extra bass boost, the Monster Cable ULT I1000-8 THX Ultra 1000 Audio Interconnect includes a microfiber insulated cable for deeper, tighter bass and clearer highs.",8
